Discretion,Zahlen,K I u,K I o,Titre
2020,8.599580695,7.9199656,9.279195791,Travail
2020,2.309039186,1.888617945,2.729460426,Formation
2020,4.080400794,3.718295399,4.44250619,Achats
2020,12.68511603,11.69033799,13.67989407,Loisirs
2020,1.523793322,1.043969639,2.003617006,"Activité professionnelle, voyage de service"
2020,1.610596118,1.332064632,1.889127604,Services et accompagnement
2020,0.804400849,0.56971546,1.039086237,Autres
2021,6.123688667,5.559552722,6.687824612,Travail
2021,1.192793698,0.944984192,1.440603205,Formation
2021,3.624767977,3.234463525,4.01507243,Achats
2021,8.388332496,7.61829433,9.158370661,Loisirs
2021,0.787346993,0.484456199,1.090237787,"Activité professionnelle, voyage de service"
2021,1.290542759,1.070542368,1.51054315,Services et accompagnement
2021,0.434478206,0.256048867,0.612907545,Autres
